,BO,,,GA,,,BO_wo_rlx,,,BO_wo_clst,,,BO_wo_clst+wo_rlx,,,BO_wo_clst+wo_cmp,,,BO_wo_cl+wo_rlx+wo_cmp,,,BO_wo_comparison,,
no,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max
96,11.48162,11.3738,11.7667,11.3988,11.3682,11.4377,18.7195,18.7195,18.7195,11.43386,11.4004,11.5086,18.70182,18.0581,18.8968,11.48646,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
97,11.48162,11.3738,11.7667,11.3988,11.3682,11.4377,18.7195,18.7195,18.7195,11.43386,11.4004,11.5086,18.70182,18.0581,18.8968,11.48642,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
98,11.48162,11.3738,11.7667,11.39878,11.3681,11.4377,18.7195,18.7195,18.7195,11.43386,11.4004,11.5086,18.70182,18.0581,18.8968,11.48642,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
99,11.48162,11.3738,11.7667,11.39878,11.3681,11.4377,18.7195,18.7195,18.7195,11.43376,11.4,11.5086,18.70182,18.0581,18.8968,11.48642,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
100,11.48162,11.3738,11.7667,11.39878,11.3681,11.4377,18.7195,18.7195,18.7195,11.43376,11.4,11.5086,18.70182,18.0581,18.8968,11.48642,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
101,11.42042,11.3738,11.4607,11.39878,11.3681,11.4377,18.7195,18.7195,18.7195,11.43376,11.4,11.5086,18.70182,18.0581,18.8968,11.48642,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
102,11.42042,11.3738,11.4607,11.404925,11.3681,11.4377,18.7195,18.7195,18.7195,11.43022,11.4,11.4909,18.70182,18.0581,18.8968,11.48642,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
103,11.42042,11.3738,11.4607,11.4172,11.4003,11.4377,18.7195,18.7195,18.7195,11.43022,11.4,11.4909,18.70182,18.0581,18.8968,11.48642,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
104,11.42042,11.3738,11.4607,11.4172,11.4003,11.4377,18.7195,18.7195,18.7195,11.43022,11.4,11.4909,18.70182,18.0581,18.8968,11.48642,11.3997,11.6671,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
105,11.42042,11.3738,11.4607,11.4172,11.4003,11.4377,18.7195,18.7195,18.7195,11.43022,11.4,11.4909,18.64734,18.0581,18.8968,11.48642,11.3997,11.6671,18.74046,18.6599,18.7606,11.56214,11.4151,11.7857
106,11.42042,11.3738,11.4607,,,,18.7195,18.7195,18.7195,11.40686,11.3741,11.4335,18.61428,17.8928,18.8968,11.48642,11.3997,11.6671,18.74046,18.6599,18.7606,11.56214,11.4151,11.7857
107,11.42042,11.3738,11.4607,,,,18.7195,18.7195,18.7195,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.48642,11.3997,11.6671,18.74046,18.6599,18.7606,11.56214,11.4151,11.7857
108,11.42042,11.3738,11.4607,,,,18.7195,18.7195,18.7195,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.48642,11.3997,11.6671,18.74046,18.6599,18.7606,11.56214,11.4151,11.7857
109,,,,,,,18.04865,17.3778,18.7195,11.40048,11.3681,11.4335,18.58704,17.8928,18.7606,11.48642,11.3997,11.6671,18.74046,18.6599,18.7606,,,
