,h,k,l,del_CN,del_tension,del_radius,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
160,3,2,2,3,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.13
84,3,2,2,3,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.13
145,3,2,2,3,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.64
85,3,2,2,3,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.34
193,6,4,3,2,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.13
114,3,2,2,3,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.31
266,6,4,3,3,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.03
125,6,4,3,5,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.36
3,6,4,3,5,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.62
292,6,4,3,4,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.66
201,1,0,0,4,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.34
7,1,1,1,3,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.45
151,6,4,3,0,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,-0.07
71,6,4,3,3,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,0.57
165,3,2,2,0,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.05
226,6,4,3,0,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.05
32,6,4,3,6,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,0.0
52,6,4,3,4,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.7
230,6,4,3,5,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.19
35,6,4,3,5,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.03
127,6,4,3,4,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.37
168,3,2,2,5,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.72
283,6,4,3,2,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.39
78,3,2,2,5,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.41
76,6,4,3,0,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,-0.27
37,6,4,3,4,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.1
