h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
1,1,0,5,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.99
3,2,2,3,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.45
3,2,2,3,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.48
3,2,2,2,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.23
3,2,2,0,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.34
3,2,2,5,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.27
1,1,0,5,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.31
3,2,2,3,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.03
3,2,2,3,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.05
3,2,2,2,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,0
3,2,2,0,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.03
3,2,2,5,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-1.04
1,1,0,5,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-1.06
3,2,2,3,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.52
3,2,2,3,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.6
3,2,2,2,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.41
3,2,2,0,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.07
3,2,2,5,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.88
1,1,0,5,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.85
